model_id,creator,family,downloads,created_at,direct_derivatives,total_descendants,max_depth,avg_depth,depth_1_count,depth_2_count,depth_3_count,depth_4plus_count
Qwen/Qwen2.5-3B,Qwen,Qwen,346507,2024-09-15 12:17:03+00:00,368,2529,8,2.22,368,1333,750,78
Qwen/Qwen2.5-1.5B,Qwen,Qwen,581035,2024-09-15 12:16:50+00:00,332,3255,8,2.23,332,1943,884,96
Qwen/Qwen3-4B-Base,Qwen,Qwen,1027499,2025-04-28 05:04:27+00:00,223,2001,8,2.18,223,1328,353,97
google/gemma-3-12b-it,unknown,Gemma,0,,159,242,8,1.71,159,57,7,19
meta-llama/Llama-3.2-1B-Instruct,meta-llama,LLaMA,4100330,2024-09-18 15:12:47+00:00,1059,1858,7,1.61,1059,601,104,94
meta-llama/Llama-3.2-1B,meta-llama,LLaMA,1844509,2024-09-18 15:03:14+00:00,784,1152,7,1.52,784,251,49,68
meta-llama/Llama-3.2-3B-Instruct,meta-llama,LLaMA,4414441,2024-09-18 15:19:20+00:00,1054,2306,7,1.83,1054,851,150,251
Qwen/Qwen2.5-32B,Qwen,Qwen,1611420,2024-09-15 12:18:33+00:00,223,2544,7,2.62,223,899,1060,362
HuggingFaceTB/SmolLM2-135M,HuggingFaceTB,Other,817672,2024-10-31 00:46:04+00:00,826,1201,7,1.38,826,326,32,17
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,deepseek-ai,Qwen,613625,2025-01-20 09:16:14+00:00,388,542,6,1.42,388,112,20,22
Qwen/Qwen3-0.6B-Base,Qwen,Qwen,222793,2025-04-28 05:09:54+00:00,519,1774,6,1.86,519,1033,186,36
google/gemma-3-1b-pt,google,Gemma,47341,2025-02-20 21:21:06+00:00,135,1284,6,2.51,135,462,604,83
openai/gpt-oss-20b,openai,GPT,7441873,2025-08-04 22:33:29+00:00,326,922,6,1.71,326,553,30,13
Sao10K/L3.1-70B-Hanami-x1,unknown,Other,0,,139,389,5,2.12,139,125,72,53
